,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,g31,g32,g33,g34,g35,g36,g37,g38,g39,g40,g41,g42,g43,g44,g45,g46,g47,g48,g49
sample_150,3.6151581006222715,3.219371886742395,2.429306227255657,3.7182075874391547,2.322065156500883,3.4990403489972173,2.835658513056796,1.6898011720037032,3.0203461994034004,2.0577734484426946,3.3823970074072673,1.4582123643148317,2.114749533104338,2.867902580264436,1.68782350288084,2.185741639624485,1.8198580478316697,2.730109502487644,3.297965210057477,3.0170560780945794,2.5224843089099585,1.679621578459882,3.040656460831925,3.5721715652113577,2.538472101604393,1.6045531363878067,2.7151965685421313,2.007398782621489,2.649400879753035,1.7395545254678533,2.295985202212931,2.112472053946545,1.9194965258381553,1.8298245670805702,2.4052068478154776,2.0571407565576214,2.5335631957214373,2.7881545112698722,2.24389408406909,3.856403500834919,2.8430284993128594,3.228492471986121,1.6412971369679084,2.463676244039942,2.561538826810723,2.094781395679804,2.362722004363676,1.6262812833453255,1.1381319121935205,2.996822631867671
sample_151,-1.488169027407787,-0.48940942495578144,-0.5509867657236541,-2.000417531450772,1.8014718134654943,0.035918730563364254,-1.9171528817928596,-1.3289355632325124,-1.41332833947151,1.7365590786535137,-1.893272097205257,1.3288209845843126,-1.3853415481046234,-1.1883539360201392,-0.5375855368954131,0.5192639205961006,0.037526036319791345,-1.3770489483310377,-0.4590211379100765,-0.49427921246769746,-0.09814977539156114,-0.02338585279879679,-0.6674617530446574,-0.6922486594163929,-0.1094288886602014,-0.39555694869309743,2.261863683238233,-0.8507693813322155,-0.34297152419464977,0.18001299478043276,-1.0420101941264632,1.0866245963470162,-0.17103742667676478,0.5107812391913871,0.7497940701369749,-2.3483426955123665,-0.956624258489225,-2.28166856249638,-1.3327746922464785,-0.7795031224794715,-1.1450722251292036,-1.397487958716162,-0.624491967531761,-2.00082765377973,-0.7212884026893452,-0.19246466186502798,0.20702079142461305,-1.266091472256395,-1.0468801779740016,-0.25360977674129204
sample_152,1.443602160961997,2.5991748666564574,2.666124733283391,2.0519376841782573,3.959947445964453,1.8660765713536918,0.8746461431101906,3.8085555303080847,2.2377860864160364,3.419713450881459,2.5170074425036595,2.427025299417253,1.8311768973355118,1.3972765522881165,5.116268764645526,3.1579540128380326,2.91357084303231,2.534294431881406,2.6045862050781308,2.5484588265423094,2.58464459672793,3.421578726479593,2.198790846050311,1.7421319089510248,2.686436071949094,2.1537147073463125,3.8601058514860287,2.2152149390630154,2.89407849725942,2.331958086371434,2.3111574492299303,3.9186958957754623,2.7317421263716395,2.7288318607534867,3.6160336491150247,1.9259361168734068,2.260647607889355,3.8435695413517346,2.727027373895908,2.4320118622947584,2.1242555086317685,1.3932043931390754,2.739732300565893,2.143391994370504,2.6131512291267054,2.8491999613251373,3.2916254580931947,3.266769399208033,2.1686008980767846,2.282837885656754
sample_153,2.9741031878108264,4.316340801074487,4.963326176746845,3.0448237051154936,1.1567843282118322,4.501342600714099,2.9313086007707234,5.142583906829154,3.073924920301348,1.7335243912338232,3.5814850569650067,-0.16111458212173357,3.7260730396697377,4.337252988986256,5.077351267922274,1.1133571420127553,2.059155869015853,2.8152106486854778,2.8418534806960647,5.3895139528765945,1.015110301216424,0.39141925163152647,4.208892460542575,3.9804282975843757,0.8046438562296739,2.2499061410571253,0.8986745367554745,1.083730885806047,0.8276349777593268,1.6000558888165965,2.579812778450237,0.9291893746566443,2.340236848699023,0.39246483954735334,0.5859173059986567,3.1733455284137424,2.4422893430426105,4.6957290577268616,5.0481718234293425,3.3510767353031268,2.509096139646501,2.7730654286223455,1.0464796224183994,3.2546233864869003,2.406123692655441,4.990741853980047,0.5560298053136744,5.1128626480274395,1.3571709057189245,4.136631429689525
sample_154,2.4403210899338346,0.5099779068528734,-0.05034120163372324,-0.5368318153303595,0.01199108964618087,0.7873968383362355,1.4765676700307486,-1.2258212621874205,-0.17829716229337644,0.40253838539174036,0.041065318138953255,0.8778095849180578,0.5941488175710778,1.1243798641297198,-1.807372390964081,0.432868857701198,0.12188057180158274,0.24345710850404464,0.9714698637403112,-0.03410995882947765,1.5577555852004616,1.3401636408037918,0.20122114556471532,0.6605170316672301,1.7399804977607705,0.951007894581092,-0.2309511458065418,1.3282048909592898,1.7938287973009313,0.8563584273399614,0.9551278502180773,-0.11897918704962396,-0.5968871404690251,0.809684673498476,-0.6836534972889946,1.0761035694249865,0.23146120292012806,-0.7078432659314424,-1.018667551125462,0.08949202812510468,0.607479269409372,1.2925799011496395,1.2416765125233233,0.8419055018723713,0.42376336334169795,0.309404097616664,1.2181962447734638,-0.8887758877849005,1.4446653550228399,1.1230863878564843
sample_155,7.288371767193332,5.560045930906345,6.307238602007387,5.584240771257166,3.63129146911537,5.604777947629826,6.464767140278386,5.9012178983059815,5.7165361938803265,3.766714945733657,5.301077171040518,3.889760222901964,6.638797128161745,5.52794757910485,6.711874189385737,4.530527837416726,4.666717936385231,4.78478077777245,6.194473463251613,6.631218246579943,4.106837947151015,3.872815268173757,5.337440486500016,5.120155743994984,3.8570528147677874,3.930213937604897,3.2372460687111517,3.217793834970955,4.53887995200801,3.63141063804067,5.148535938742961,3.8342044479119792,3.487168323122222,3.7003240477722183,3.0781589818504496,6.078452662512029,5.063760154273544,6.10881770713331,6.723011267356501,5.09842734086441,5.877041596849361,6.876661556731682,3.000005085726259,6.1768538871395835,5.5707536791930785,6.774474775271731,4.968589539359178,6.571328799093967,4.1629978375820915,5.995333323193146
sample_156,0.7850660130864422,0.3382381029887296,0.036619890075957284,0.6888676661831986,0.4246718795163746,0.6054787392369321,1.1308212790063517,-0.7720577927487181,-0.24569062291104315,0.9488256955424681,0.6805227366008698,-0.5471917684300327,1.1654708538579872,0.5488412339084252,-0.5927482586426049,-0.14662351784375005,-0.01927714845468001,0.5585525270075876,-0.6334777379489394,-0.22665283047341722,1.6678994869520682,0.556977357208976,0.6844837428524755,0.6638953457424543,0.32810160917910797,-0.11661323360814435,-0.694643386279465,0.46982846241405013,0.9831962337552071,0.7704153332717736,0.7572787752594345,0.9199371270382427,-0.03952454292536016,0.5282439799473564,1.5858212456042868,0.8649211970551334,0.10261342190107568,-0.19168651255044178,-0.508028959906512,-0.26979320711026855,0.8096106502717616,0.538801235433226,0.766487963046325,0.8587082105216305,0.5760387107686371,0.3605134011052258,-0.4846365642257135,-0.26995636250655497,0.20945004643153348,0.8468526391284645
sample_157,0.4308296385727768,0.6614266378196578,0.03368189652286624,-0.11868730997990123,2.8194391591733226,-0.21695672748250272,-0.5890256776536379,2.001083618721897,0.40526773445059155,3.072635618806571,0.9290107772938883,2.5189602228349126,0.8096022013550905,1.4495564080089447,1.6747767498293973,2.0278263976620345,1.6890403603775463,1.1140279320606064,0.14366721201079036,-0.5357505456382186,2.3796580885025787,2.8054118228156604,0.8705212988422513,0.759935527390432,2.55297939614145,1.2514916054569811,2.2592711197845405,2.181486961775178,2.813267535578383,2.458900829688487,-0.3629803494095483,3.0397021377176063,2.26682878315294,2.1035002479342593,3.1265744139824894,0.6172519630064677,0.7825935013113756,0.8666303491285821,0.9270959556718407,1.6350686334702955,0.8447213421466644,0.18465311759795422,2.696519456843739,0.9115698332223285,0.4602541824974374,-0.2757587437949629,1.6764069229802687,1.3413657211047536,1.9222772478103298,0.5830674918091581
sample_158,-1.1795911255881364,-0.5255193389019757,-0.7674822859310816,-0.4776631201170888,0.9280912050224016,-0.29504336290233635,-1.4064586177843406,-0.9882410741290789,0.2006532418505315,0.3088916416574763,-0.7052828157298915,0.039864781266902655,-0.9827468882611261,-0.2294851979057903,-0.7132920143236547,-0.31401788400133646,-0.09605878175366,-0.5247500503984204,0.10972253128177875,-1.2152873817736751,1.366454245777538,0.7183898871797236,0.04323172118880003,-0.6282657811329949,0.45661607964225953,0.5636282352454367,0.9136228576890283,-0.0677137280090388,0.5799153170434033,-0.451464359306282,-0.9271791673764057,0.6565773823636155,-0.19124744853881992,0.23799543213790741,0.7875395161680889,-0.3778115140180374,-0.24726800175289773,-1.7417105043582246,-1.4661829172109146,-0.7403684117956038,-0.45730502484594415,-1.2092458036758131,-0.38032502751385444,-0.7946781141148794,-0.10733504257949789,-0.6146449150717553,-0.9807943993687211,-1.117223876842703,-0.11003269831121418,0.05436838258858002
sample_159,1.0259772478465683,0.6924378314355355,1.077202588715212,2.4844152768768026,2.7075664616103254,1.2346317435878662,0.8670150687283366,1.361250740698107,2.779163693771376,2.4103584832167515,1.9488636294913109,2.6265092772582808,1.118921721030563,0.6937085087587238,1.9887924442366978,2.3444082652321554,2.1769063714736028,2.8201821678716246,3.020632404799384,1.4144739763936405,3.2756088009380298,3.405397773633088,0.5664186845551653,0.7469672688819424,2.882562290312074,2.197460954937729,2.554686694394874,2.330460034581297,2.9620749646215057,2.748170764756108,1.2744056170822138,3.3772831751547754,2.631313285119294,2.7740275377646135,2.9948243970168402,1.555016995210289,2.80100892693018,1.0947086038679728,0.9380514876987807,1.916019274363393,2.803981613606365,1.4002737520610224,2.9014764629116416,1.4282516708011448,2.3704095353843098,0.6128803267749301,2.3624164849081426,1.4895742138132275,2.3171694751353864,0.1324253002927055
